case_id,activity,resource,timestamp
Case 1008,resolve ticket,Value 16,2011-11-03 09:37:15
Case 1008,closed,Value 5,2011-12-08 15:40:25
Case 1009,assign seriousness,Value 1,2012-05-18 12:11:25
Case 1009,take in charge ticket,Value 9,2012-05-18 14:23:17
Case 1009,wait,Value 9,2012-05-18 15:07:29
Case 1009,resolve ticket,Value 9,2012-05-22 07:53:06
Case 1009,closed,Value 5,2012-06-28 14:10:31
Case 101,insert ticket,Value 15,2010-06-18 13:47:15
Case 101,assign seriousness,Value 15,2010-06-18 14:18:15
Case 101,take in charge ticket,Value 2,2010-06-29 07:35:47
Case 101,resolve ticket,Value 2,2010-06-29 08:33:07
Case 101,closed,Value 5,2010-08-05 13:50:24
Case 1010,assign seriousness,Value 14,2013-06-21 07:11:34
Case 1010,take in charge ticket,Value 2,2013-06-24 10:06:24
Case 1010,require upgrade,Value 1,2013-06-28 10:12:09
Case 1010,resolve ticket,Value 1,2013-07-17 15:38:54
Case 1010,closed,Value 3,2013-08-01 15:39:11
Case 1011,insert ticket,Value 15,2011-09-06 15:37:27
Case 1011,assign seriousness,Value 15,2011-09-06 15:44:32
Case 1011,take in charge ticket,Value 15,2011-09-06 15:44:54
Case 1011,resolve ticket,Value 15,2011-09-06 15:55:58
Case 1011,closed,Value 5,2011-10-22 15:40:25
Case 1012,assign seriousness,Value 2,2010-05-25 15:14:28
Case 1012,take in charge ticket,Value 2,2010-05-28 15:38:09
Case 1012,resolve ticket,Value 2,2010-05-28 15:38:45
Case 1012,closed,Value 5,2010-06-26 15:20:26
Case 1013,assign seriousness,Value 1,2011-11-30 16:32:54
Case 1013,resolve ticket,Value 9,2011-12-12 16:50:49
Case 1013,closed,Value 5,2012-01-13 16:40:37
Case 1014,assign seriousness,Value 8,2010-12-28 10:41:06
Case 1014,take in charge ticket,Value 6,2010-12-30 08:50:44
Case 1014,wait,Value 6,2010-12-30 08:51:13
Case 1014,take in charge ticket,Value 6,2011-01-13 16:53:03
Case 1014,resolve ticket,Value 6,2011-01-13 16:55:17
Case 1014,closed,Value 5,2011-01-28 16:55:37
Case 1015,assign seriousness,Value 1,2012-02-10 14:44:10
Case 1015,take in charge ticket,Value 2,2012-02-10 15:48:04
Case 1015,resolve ticket,Value 2,2012-02-15 11:07:17
Case 1015,closed,Value 5,2012-03-14 14:50:15
Case 1016,assign seriousness,Value 8,2011-04-13 07:43:01
Case 1016,take in charge ticket,Value 8,2011-04-13 07:45:30
Case 1016,resolve ticket,Value 16,2011-04-13 14:57:33
Case 1016,closed,Value 5,2011-06-11 07:50:56
Case 1017,assign seriousness,Value 1,2012-09-07 12:24:46
Case 1017,take in charge ticket,Value 3,2012-09-10 09:51:17
Case 1017,wait,Value 4,2012-09-17 09:56:36
Case 1017,resolve ticket,Value 4,2012-10-02 07:03:02
Case 1017,resolve ticket,Value 4,2012-10-02 07:03:22
Case 1017,closed,Value 3,2012-10-17 07:03:17
Case 1018,assign seriousness,Value 14,2010-09-16 09:03:22
Case 1018,take in charge ticket,Value 14,2010-09-16 09:48:31
Case 1018,resolve ticket,Value 2,2010-09-21 08:24:19
Case 1018,closed,Value 5,2010-11-05 09:24:51
Case 1019,assign seriousness,Value 1,2013-02-14 15:35:55
Case 1019,take in charge ticket,Value 2,2013-03-04 08:12:43
Case 1019,wait,Value 1,2013-03-04 08:33:32
Case 1019,resolve ticket,Value 1,2013-03-04 10:43:19
Case 1019,closed,Value 3,2013-03-19 10:43:39
Case 102,assign seriousness,Value 4,2012-01-30 09:09:29
Case 102,take in charge ticket,Value 4,2012-01-30 09:09:57
Case 102,resolve ticket,Value 2,2012-01-31 08:12:06
Case 102,closed,Value 5,2012-03-16 09:12:11
Case 1020,assign seriousness,Value 4,2012-05-15 08:09:38
Case 1020,take in charge ticket,Value 4,2012-05-15 08:09:57
Case 1020,wait,Value 4,2012-05-28 15:21:32
Case 1020,resolve ticket,Value 4,2012-06-04 10:49:46
Case 1020,closed,Value 5,2012-07-06 13:30:28
Case 1021,assign seriousness,Value 6,2010-05-18 14:59:36
Case 1021,take in charge ticket,Value 2,2010-05-19 08:08:06
Case 1021,resolve ticket,Value 2,2010-05-20 10:17:39
Case 1021,closed,Value 5,2010-06-25 15:01:30
Case 1022,assign seriousness,Value 1,2012-01-05 16:55:40
Case 1022,assign seriousness,Value 1,2012-01-05 16:55:53
Case 1022,take in charge ticket,Value 2,2012-01-11 11:59:45
Case 1022,resolve ticket,Value 2,2012-01-12 10:39:39
Case 1022,closed,Value 5,2012-02-07 17:00:35
Case 1023,assign seriousness,Value 1,2013-03-12 09:39:30
Case 1023,resolve ticket,Value 2,2013-03-28 13:14:48
Case 1023,resolve ticket,Value 2,2013-03-28 13:14:48
Case 1023,closed,Value 3,2013-04-12 12:15:06
Case 1024,assign seriousness,Value 13,2011-07-14 07:22:19
Case 1024,assign seriousness,Value 15,2011-07-15 10:40:41
Case 1024,take in charge ticket,Value 15,2011-07-15 12:44:17
Case 1024,resolve ticket,Value 15,2011-07-18 08:33:09
Case 1024,closed,Value 5,2011-08-20 07:31:38
Case 1025,assign seriousness,Value 8,2011-03-18 09:41:58
Case 1025,take in charge ticket,Value 8,2011-03-18 09:42:34
Case 1025,wait,Value 2,2011-03-25 14:24:59
Case 1025,take in charge ticket,Value 2,2011-04-20 15:42:11
Case 1025,resolve ticket,Value 2,2011-04-20 15:42:20
Case 1025,closed,Value 5,2011-05-05 15:42:36
Case 1026,assign seriousness,Value 14,2013-05-13 15:56:12
Case 1026,take in charge ticket,Value 2,2013-05-20 08:37:45
Case 1026,require upgrade,Value 4,2013-05-20 08:38:03
Case 1026,resolve ticket,Value 4,2013-06-04 16:04:46
Case 1026,closed,Value 3,2013-06-19 16:05:00
Case 1027,assign seriousness,Value 1,2013-04-16 13:36:13
Case 1027,take in charge ticket,Value 2,2013-04-29 08:23:18
Case 1027,wait,Value 14,2013-04-29 15:18:01
Case 1027,resolve ticket,Value 14,2013-05-15 09:33:16
Case 1027,closed,Value 3,2013-05-30 09:33:30
Case 1028,assign seriousness,Value 8,2010-12-28 08:31:42
Case 1028,take in charge ticket,Value 6,2011-01-14 10:45:45
Case 1028,resolve ticket,Value 6,2011-01-14 10:46:06
Case 1028,closed,Value 5,2011-01-29 10:46:26
Case 1029,assign seriousness,Value 1,2012-05-09 09:25:28
Case 1029,take in charge ticket,Value 10,2012-05-09 13:22:38
Case 1029,resolve ticket,Value 1,2012-05-09 13:40:52
Case 1029,closed,Value 5,2012-06-09 09:30:28
Case 103,assign seriousness,Value 2,2010-06-07 07:30:54
Case 103,assign seriousness,Value 2,2010-06-07 07:49:10
Case 103,take in charge ticket,Value 15,2010-06-07 15:16:44
Case 103,wait,Value 15,2010-06-08 10:37:29
Case 103,take in charge ticket,Value 15,2010-06-09 07:18:05
Case 103,create sw anomaly,Value 15,2010-06-09 07:18:28
Case 103,resolve ticket,Value 15,2010-06-16 09:23:07
Case 103,closed,Value 5,2010-07-16 09:23:33
Case 1030,assign seriousness,Value 2,2010-02-04 09:40:52
Case 1030,assign seriousness,Value 2,2010-02-04 09:41:05
Case 1030,take in charge ticket,Value 2,2010-02-04 09:41:23
Case 1030,create sw anomaly,Value 2,2010-02-04 09:41:33
Case 1030,resolve ticket,Value 2,2010-02-22 14:05:31
Case 1030,closed,Value 5,2010-03-09 14:05:44
Case 1031,assign seriousness,Value 8,2011-02-24 13:41:36
Case 1031,take in charge ticket,Value 8,2011-02-24 13:41:54
Case 1031,wait,Value 9,2011-03-07 16:53:23
Case 1031,take in charge ticket,Value 9,2011-03-25 09:53:46
Case 1031,resolve ticket,Value 9,2011-03-25 09:54:11
Case 1031,closed,Value 5,2011-04-15 14:50:58
Case 1032,assign seriousness,Value 1,2012-04-11 15:07:25
Case 1032,take in charge ticket,Value 1,2012-04-11 15:07:34
Case 1032,wait,Value 1,2012-04-17 12:29:31
Case 1032,resolve ticket,Value 1,2012-05-15 12:31:57
Case 1032,closed,Value 5,2012-06-01 15:20:26
Case 1033,assign seriousness,Value 1,2011-11-10 08:25:05
Case 1033,take in charge ticket,Value 2,2011-11-18 11:29:26
Case 1033,wait,Value 2,2011-11-23 16:07:21
Case 1033,resolve ticket,Value 2,2011-12-12 09:40:33
Case 1033,closed,Value 5,2011-12-29 11:10:47
Case 1034,assign seriousness,Value 1,2011-12-13 08:22:23
Case 1034,take in charge ticket,Value 4,2011-12-13 08:27:18
Case 1034,resolve ticket,Value 4,2011-12-13 11:50:30
Case 1034,closed,Value 5,2012-01-13 08:30:30
Case 1035,assign seriousness,Value 9,2010-12-20 13:19:58
Case 1035,assign seriousness,Value 2,2010-12-20 16:42:41
Case 1035,take in charge ticket,Value 2,2010-12-20 16:42:50
Case 1035,wait,Value 9,2010-12-21 08:59:57
Case 1035,take in charge ticket,Value 2,2010-12-22 16:57:41
Case 1035,resolve ticket,Value 2,2010-12-22 16:58:03
Case 1035,closed,Value 5,2011-01-21 16:58:17
Case 1036,assign seriousness,Value 1,2012-05-29 15:38:19
Case 1036,take in charge ticket,Value 1,2012-05-29 15:38:27
Case 1036,wait,Value 1,2012-05-30 14:35:37
Case 1036,take in charge ticket,Value 1,2012-05-30 15:32:51
Case 1036,resolve ticket,Value 1,2012-06-01 12:40:27
Case 1036,closed,Value 5,2012-06-30 07:41:01
Case 1037,assign seriousness,Value 4,2011-10-24 10:11:15
Case 1037,take in charge ticket,Value 1,2011-10-24 10:19:04
Case 1037,resolve ticket,Value 1,2011-10-24 11:02:57
Case 1037,closed,Value 5,2011-12-09 11:20:28
Case 1038,assign seriousness,Value 1,2012-07-24 15:29:40
Case 1038,take in charge ticket,Value 4,2012-07-25 13:33:25
Case 1038,resolve ticket,Value 4,2012-07-25 13:53:33
Case 1038,closed,Value 5,2012-09-01 08:14:01
Case 1039,assign seriousness,Value 1,2012-06-28 10:14:33
Case 1039,take in charge ticket,Value 4,2012-06-28 10:55:42
Case 1039,resolve ticket,Value 4,2012-06-29 14:35:15
Case 1039,closed,Value 5,2012-07-31 10:20:39
Case 104,assign seriousness,Value 8,2011-01-27 08:34:59
Case 104,take in charge ticket,Value 17,2011-01-27 09:32:40
Case 104,resolve ticket,Value 17,2011-01-27 09:34:24
Case 104,closed,Value 5,2011-03-05 08:42:36
Case 1040,assign seriousness,Value 1,2012-02-20 08:07:43
Case 1040,take in charge ticket,Value 1,2012-02-20 08:07:57
Case 1040,resolve ticket,Value 1,2012-02-21 16:35:15
Case 1040,closed,Value 5,2012-04-04 07:10:38
Case 1041,assign seriousness,Value 1,2012-05-02 10:44:47
Case 1041,take in charge ticket,Value 1,2012-05-02 10:44:54
Case 1041,resolve ticket,Value 1,2012-05-08 08:37:30
Case 1041,closed,Value 5,2012-06-09 10:50:29
Case 1042,assign seriousness,Value 1,2012-05-23 08:22:52
Case 1042,take in charge ticket,Value 9,2012-05-23 10:07:38
Case 1042,resolve ticket,Value 9,2012-05-23 14:24:29
Case 1042,closed,Value 5,2012-06-23 08:30:21
Case 1043,assign seriousness,Value 4,2012-11-15 08:29:06
Case 1043,take in charge ticket,Value 2,2012-11-19 15:26:43
Case 1043,wait,Value 2,2012-11-22 16:04:35
Case 1043,resolve ticket,Value 2,2012-12-17 09:28:26
Case 1043,closed,Value 3,2013-01-01 09:28:46
Case 1044,assign seriousness,Value 2,2010-05-13 14:45:13
Case 1044,take in charge ticket,Value 16,2010-05-17 16:21:00
Case 1044,resolve ticket,Value 16,2010-05-17 17:10:24
Case 1044,take in charge ticket,Value 16,2010-05-18 08:21:15
Case 1044,wait,Value 16,2010-05-18 08:44:56
Case 1044,take in charge ticket,Value 16,2010-05-18 09:26:17
Case 1044,resolve ticket,Value 16,2010-05-18 09:28:09
Case 1044,closed,Value 5,2010-06-26 14:50:32
Case 1045,assign seriousness,Value 9,2011-06-24 10:10:25
Case 1045,take in charge ticket,Value 2,2011-06-27 13:36:12
Case 1045,resolve ticket,Value 2,2011-06-27 13:37:30
Case 1045,closed,Value 5,2011-08-22 10:20:40
Case 1046,assign seriousness,Value 1,2012-04-02 08:42:04
Case 1046,take in charge ticket,Value 1,2012-04-02 08:42:15
Case 1046,resolve ticket,Value 1,2012-04-02 10:12:04
Case 1046,closed,Value 5,2012-05-18 08:52:05
Case 1047,assign seriousness,Value 13,2011-07-14 10:17:31
Case 1047,assign seriousness,Value 13,2011-07-15 07:34:30
Case 1047,take in charge ticket,Value 7,2011-07-15 09:49:56
Case 1047,wait,Value 7,2011-07-15 09:51:05
Case 1047,resolve ticket,Value 2,2011-07-15 13:18:05
Case 1047,closed,Value 5,2011-08-27 10:20:45
Case 1048,assign seriousness,Value 9,2010-12-13 10:53:33
Case 1048,take in charge ticket,Value 9,2010-12-13 10:53:45
Case 1048,wait,Value 9,2010-12-13 10:54:14
Case 1048,take in charge ticket,Value 9,2010-12-30 08:41:02
Case 1048,resolve ticket,Value 9,2010-12-30 08:41:14
Case 1048,closed,Value 5,2011-01-19 08:50:44
Case 1049,assign seriousness,Value 1,2012-02-09 14:14:35
Case 1049,take in charge ticket,Value 1,2012-02-09 14:15:26
Case 1049,resolve ticket,Value 2,2012-02-14 16:45:38
Case 1049,resolve ticket,Value 2,2012-02-14 16:45:38
Case 1049,closed,Value 5,2012-03-24 14:20:38
Case 105,assign seriousness,Value 1,2012-11-20 09:00:13
Case 105,take in charge ticket,Value 2,2012-11-26 16:42:13
Case 105,wait,Value 2,2012-11-30 09:01:21
Case 105,resolve ticket,Value 2,2012-12-07 16:04:16
Case 105,closed,Value 3,2012-12-22 16:04:35
Case 1050,assign seriousness,Value 8,2011-05-12 08:27:06
Case 1050,take in charge ticket,Value 8,2011-05-12 08:27:37
Case 1050,wait,Value 9,2011-05-13 10:46:18
Case 1050,take in charge ticket,Value 9,2011-05-20 07:05:57
Case 1050,resolve ticket,Value 9,2011-05-20 07:06:09
Case 1050,take in charge ticket,Value 9,2011-06-07 09:09:31
Case 1050,wait,Value 9,2011-06-08 08:09:20
Case 1050,take in charge ticket,Value 9,2011-06-08 12:44:40
Case 1050,resolve ticket,Value 9,2011-06-08 12:44:48
Case 1050,closed,Value 5,2011-06-23 12:44:59
Case 1051,assign seriousness,Value 9,2010-12-27 08:06:01
Case 1051,take in charge ticket,Value 2,2010-12-27 14:46:09
Case 1051,resolve ticket,Value 2,2011-01-18 11:26:09
Case 1051,closed,Value 5,2011-02-02 11:26:23
Case 1052,assign seriousness,Value 8,2011-02-03 14:26:08
Case 1052,take in charge ticket,Value 8,2011-02-03 16:19:25
Case 1052,resolve ticket,Value 8,2011-02-03 16:20:49
Case 1052,closed,Value 5,2011-04-03 13:30:41
Case 1053,assign seriousness,Value 8,2011-06-30 14:53:16
Case 1053,assign seriousness,Value 8,2011-06-30 14:53:32
Case 1053,take in charge ticket,Value 9,2011-07-05 14:22:24
Case 1053,wait,Value 9,2011-07-05 14:26:48
Case 1053,resolve ticket,Value 9,2011-07-20 13:19:43
Case 1053,closed,Value 5,2011-08-04 13:20:00
Case 1054,assign seriousness,Value 4,2013-02-07 13:32:19
Case 1054,take in charge ticket,Value 2,2013-02-07 13:32:43
Case 1054,wait,Value 2,2013-02-15 11:48:40
Case 1054,resolve ticket,Value 4,2013-03-01 13:51:27
Case 1054,closed,Value 3,2013-03-16 13:51:45
Case 1055,assign seriousness,Value 4,2012-01-23 15:13:31
Case 1055,take in charge ticket,Value 13,2012-01-23 16:49:47
Case 1055,resolve ticket,Value 13,2012-01-24 14:19:03
Case 1055,closed,Value 5,2012-02-23 15:20:47
Case 1056,assign seriousness,Value 1,2012-06-06 12:08:26
Case 1056,take in charge ticket,Value 1,2012-06-06 12:08:43
Case 1056,resolve ticket,Value 1,2012-06-06 15:16:31
Case 1056,closed,Value 5,2012-07-07 12:10:46
Case 1057,assign seriousness,Value 13,2013-01-10 16:49:27
Case 1057,take in charge ticket,Value 2,2013-01-11 11:57:25
Case 1057,require upgrade,Value 2,2013-01-18 15:35:16
Case 1057,wait,Value 2,2013-01-18 15:35:51
Case 1057,resolve ticket,Value 2,2013-02-18 09:37:33
Case 1057,closed,Value 3,2013-03-05 09:37:48
Case 1058,assign seriousness,Value 1,2012-06-28 12:24:41
Case 1058,take in charge ticket,Value 1,2012-06-28 12:25:05
Case 1058,wait,Value 1,2012-07-13 13:26:12
Case 1058,resolve ticket,Value 1,2012-07-18 15:43:16
Case 1058,closed,Value 5,2012-08-02 15:43:35
Case 1059,assign seriousness,Value 4,2012-01-09 07:53:54
Case 1059,take in charge ticket,Value 4,2012-01-09 09:30:45
Case 1059,resolve ticket,Value 4,2012-01-09 10:31:05
Case 1059,closed,Value 5,2012-02-19 17:00:46
Case 106,assign seriousness,Value 1,2013-02-15 13:12:20
Case 106,resolve ticket,Value 1,2013-03-05 08:06:13
Case 106,closed,Value 3,2013-03-20 08:06:31
Case 1060,assign seriousness,Value 13,2011-09-02 13:25:55
Case 1060,take in charge ticket,Value 13,2011-09-14 13:30:44
Case 1060,resolve ticket,Value 13,2011-09-19 13:56:27
Case 1060,closed,Value 5,2011-10-04 13:56:37
Case 1061,assign seriousness,Value 8,2011-06-21 08:55:05
Case 1061,assign seriousness,Value 8,2011-06-21 08:55:21
Case 1061,take in charge ticket,Value 13,2011-06-27 09:24:28
Case 1061,wait,Value 13,2011-07-20 13:14:44
Case 1061,resolve ticket,Value 13,2011-07-28 09:26:55
Case 1061,closed,Value 5,2011-08-12 09:27:14
Case 1062,take in charge ticket,Value 1,2012-01-11 16:46:12
Case 1062,wait,Value 1,2012-01-12 13:49:28
Case 1062,resolve ticket,Value 1,2012-02-07 15:06:45
Case 1062,closed,Value 5,2012-03-09 09:11:08
Case 1063,assign seriousness,Value 1,2012-07-11 14:48:16
Case 1063,take in charge ticket,Value 1,2012-07-11 14:48:28
Case 1063,resolve ticket,Value 1,2012-07-11 15:24:11
Case 1063,closed,Value 5,2012-09-02 14:50:27
Case 1064,assign seriousness,Value 4,2012-05-21 15:39:11
Case 1064,take in charge ticket,Value 1,2012-05-22 07:34:16
Case 1064,resolve ticket,Value 1,2012-05-29 07:08:42
Case 1064,closed,Value 5,2012-07-13 15:41:15
Case 1065,assign seriousness,Value 13,2011-08-22 14:39:21
Case 1065,resolve ticket,Value 9,2011-08-25 12:58:59
Case 1065,closed,Value 5,2011-09-22 14:40:15
Case 1066,assign seriousness,Value 1,2012-05-24 09:32:06
Case 1066,take in charge ticket,Value 2,2012-05-25 09:42:28
Case 1066,resolve ticket,Value 2,2012-05-25 12:30:22
Case 1066,closed,Value 5,2012-07-11 09:40:38
Case 1067,assign seriousness,Value 4,2012-02-14 10:34:26
Case 1067,take in charge ticket,Value 13,2012-02-14 11:48:20
Case 1067,resolve ticket,Value 13,2012-02-16 11:40:57
Case 1067,closed,Value 5,2012-03-23 10:40:44
Case 1068,assign seriousness,Value 1,2012-05-15 08:49:37
Case 1068,take in charge ticket,Value 9,2012-05-18 12:33:18
Case 1068,resolve ticket,Value 9,2012-05-21 13:18:53
Case 1068,closed,Value 5,2012-07-07 08:50:39
Case 1069,assign seriousness,Value 8,2011-06-21 14:09:39
Case 1069,take in charge ticket,Value 8,2011-06-21 14:10:08
Case 1069,resolve ticket,Value 8,2011-06-21 14:10:56
Case 1069,closed,Value 5,2011-07-24 14:11:08
Case 107,assign seriousness,Value 18,2013-10-30 13:25:20
Case 107,take in charge ticket,Value 2,2013-10-31 14:48:10
Case 107,wait,Value 2,2013-11-15 08:31:41
Case 107,resolve ticket,Value 2,2013-11-18 08:20:45
Case 107,closed,Value 3,2013-12-03 08:20:56
Case 1070,assign seriousness,Value 1,2012-11-23 08:40:05
Case 1070,take in charge ticket,Value 2,2012-11-27 12:09:04
Case 1070,resolve ticket,Value 16,2012-11-27 12:16:27
Case 1070,take in charge ticket,Value 16,2012-11-30 14:58:54
Case 1070,wait,Value 16,2012-12-05 09:59:17
Case 1070,resolve ticket,Value 16,2012-12-13 17:39:38
Case 1070,closed,Value 3,2012-12-28 17:39:52
Case 1071,assign seriousness,Value 8,2011-05-18 09:38:14
Case 1071,take in charge ticket,Value 8,2011-05-18 09:38:35
Case 1071,resolve ticket,Value 13,2011-05-23 10:35:13
Case 1071,closed,Value 5,2011-07-01 09:40:32
Case 1072,assign seriousness,Value 1,2012-07-17 10:43:08
Case 1072,assign seriousness,Value 13,2012-07-18 14:58:04
Case 1072,take in charge ticket,Value 13,2012-07-18 14:58:17
Case 1072,resolve ticket,Value 1,2012-07-20 13:17:21
Case 1072,closed,Value 5,2012-09-01 10:50:21
Case 1073,assign seriousness,Value 1,2011-12-30 08:47:19
Case 1073,take in charge ticket,Value 9,2012-01-02 08:40:49
Case 1073,resolve ticket,Value 9,2012-01-02 09:45:20
Case 1073,closed,Value 5,2012-02-08 08:50:32
Case 1074,assign seriousness,Value 1,2011-10-28 10:45:32
Case 1074,take in charge ticket,Value 13,2011-11-02 16:41:16
Case 1074,wait,Value 13,2011-11-10 14:21:37
Case 1074,resolve ticket,Value 13,2011-11-17 13:49:37
Case 1074,closed,Value 5,2011-12-07 11:10:25
Case 1075,assign seriousness,Value 13,2012-08-07 10:01:46
Case 1075,take in charge ticket,Value 3,2012-08-23 07:05:34
Case 1075,resolve ticket,Value 2,2012-09-05 08:54:11
Case 1075,closed,Value 3,2012-09-20 08:54:27
Case 1076,assign seriousness,Value 13,2012-04-24 15:48:55
Case 1076,take in charge ticket,Value 1,2012-04-30 14:02:06
Case 1076,wait,Value 1,2012-05-08 09:17:42
Case 1076,resolve ticket,Value 1,2012-05-15 12:31:15
Case 1076,closed,Value 5,2012-06-14 12:31:39
Case 1077,assign seriousness,Value 14,2010-09-01 15:21:14
Case 1077,assign seriousness,Value 2,2010-09-02 07:28:41
Case 1077,take in charge ticket,Value 2,2010-09-09 10:02:08
Case 1077,resolve ticket,Value 2,2010-09-09 10:18:11
Case 1077,closed,Value 5,2010-10-30 15:31:26
Case 1078,assign seriousness,Value 8,2011-02-09 11:06:02
Case 1078,take in charge ticket,Value 8,2011-02-09 11:08:31
Case 1078,resolve ticket,Value 8,2011-02-09 14:12:01
Case 1078,resolve ticket,Value 8,2011-02-09 14:12:02
Case 1078,closed,Value 5,2011-03-16 11:10:57
Case 1079,assign seriousness,Value 18,2013-10-23 07:07:54
Case 1079,take in charge ticket,Value 2,2013-10-23 07:42:54
Case 1079,wait,Value 2,2013-10-23 08:21:51
Case 1079,wait,Value 2,2013-10-23 08:21:51
Case 1079,resolve ticket,Value 2,2013-11-18 15:53:04
Case 1079,closed,Value 3,2013-12-03 15:53:16
Case 108,assign seriousness,Value 13,2011-01-12 11:28:16
Case 108,take in charge ticket,Value 12,2011-01-24 09:21:26
Case 108,resolve ticket,Value 12,2011-01-26 08:12:39
Case 108,closed,Value 5,2011-02-25 08:13:02
Case 1080,insert ticket,Value 11,2010-06-09 10:33:30
Case 1080,assign seriousness,Value 11,2010-06-09 10:33:39
Case 1080,take in charge ticket,Value 11,2010-06-09 10:34:14
Case 1080,wait,Value 11,2010-06-09 10:50:30
Case 1080,take in charge ticket,Value 11,2010-06-30 15:52:44
Case 1080,resolve ticket,Value 11,2010-06-30 15:54:13
Case 1080,closed,Value 5,2010-07-15 15:54:29
Case 1081,assign seriousness,Value 1,2011-11-14 10:15:37
Case 1081,take in charge ticket,Value 9,2011-11-16 16:08:22
Case 1081,wait,Value 9,2011-11-17 08:31:09
Case 1081,resolve ticket,Value 9,2011-11-22 16:37:07
Case 1081,closed,Value 5,2011-12-28 09:20:21
Case 1082,assign seriousness,Value 13,2011-08-22 09:38:09
Case 1082,take in charge ticket,Value 13,2011-08-29 08:23:11
Case 1082,resolve ticket,Value 13,2011-09-19 13:03:33
Case 1082,closed,Value 5,2011-10-19 13:03:55
Case 1083,assign seriousness,Value 9,2012-02-28 16:02:22
Case 1083,assign seriousness,Value 9,2012-02-28 16:02:42
Case 1083,take in charge ticket,Value 11,2012-02-28 16:55:56
Case 1083,resolve ticket,Value 11,2012-02-28 16:56:41
Case 1083,closed,Value 5,2012-03-30 15:10:24
Case 1084,assign seriousness,Value 2,2012-04-24 08:13:17
Case 1084,take in charge ticket,Value 4,2012-05-23 15:46:12
Case 1084,resolve ticket,Value 4,2012-05-30 07:20:16
Case 1084,closed,Value 5,2012-06-14 07:20:36
Case 1085,assign seriousness,Value 12,2010-09-30 09:29:04
Case 1085,take in charge ticket,Value 12,2010-10-04 08:40:12
Case 1085,schedule intervention,Value 12,2010-10-04 08:41:36
Case 1085,take in charge ticket,Value 2,2010-10-05 07:33:37
Case 1085,wait,Value 2,2010-10-05 07:34:10
Case 1085,take in charge ticket,Value 2,2010-10-05 07:34:51
Case 1085,resolve ticket,Value 2,2010-10-05 07:34:59
Case 1085,closed,Value 5,2010-11-18 09:20:48
Case 1086,assign seriousness,Value 1,2012-07-24 07:42:04
